package Sundance::rurban::2024; # -*- perl -*-
#!/usr/bin/perl
# Sundance 2024 Critics Ratings, 18.1.2024 - 28.1.
# {'A+' => 10,  'A' => 9,   'A-' => 8,
#  'B+' => 7,   'B' => 6,   'B-' => 5,
#  'C+' => 4,   'C' => 3,   'C-' => 2,
#  'D+' => 1.5, 'D' => 1,   'D-' => 1,
#  'E+' => 0.5, 'E' => 0.5, 'E-' => 0.5,
#  'F+' => 0,   'F' => 0,   'F-' => 0};
# SLCWeekly: 0-4stars:
# 0.5 - 1.25, 1 - 2.5, 1.5 - 3.75, 2 -> 5, 2.5 - 6.25, 3 - 7.5, 3.5 - 8.75, 4 - 10

use utf8;
our $DATA= <<'EOF';

U.S. DRAMATIC COMPETITION

"Between the Temples" (Nathan Silver) [U.S. Dramatic]
 — A cantor in a crisis of faith finds his world turned upside down when his grade school music teacher reenters his life as his new adult bat mitzvah student. Cast: Jason Schwartzman, Carol Kane, Dolly de Leon, Caroline Aaron, Robert Smigel, Madeline Weinstein. World Premiere. Available online for Public.

 — Long after humanity’s extinction, a buoy and a satellite meet online and fall in love. Cast: Kristen Stewart, Steven Yeun. World Premiere. Available online for Public.

Peter Debruge           https://variety.com/2024/film/reviews/love-me-review-kristen-stewart-steven-yeun-1235879532/
Tim Grierson            https://www.screendaily.com/reviews/love-me-sundance-review/5189643.article
#letterboxd
Letterboxd 7_Ratings	9.57  https://letterboxd.com/film/love-me/
alithgow            10
Fefe !¡             10   https://letterboxd.com/whosfefe/film/love-me-2024/
masora              10
eggangel            10
Ryan Werner         10
Sarah Evans         10
Lukescinema         10
Ethan_J             9   https://letterboxd.com/ethanforyou/film/love-me-2024/
sillyajay           9
Alex Vejar          9
kygeaux             9
Fred Benenson       9   https://letterboxd.com/fredbenenson/film/love-me-2024/
Yaron Lotan         9
j4ro                9
gschueler           9
anniebananahnie     9
antonvk             9
Andrea              9
Cam                 9
Hunter              9
Kit Lazer           9   https://letterboxd.com/moviesrtherapy/film/love-me-2024/
elleh470            9
Lini                8   https://letterboxd.com/linod/film/love-me-2024/
SparkIeMotion       8   https://letterboxd.com/sparkiemotion/film/love-me-2024/
claire              8   https://letterboxd.com/clairefri/film/love-me-2024/
JayfreeChavez       8
That Muggle Struggle 8
Nick Alderink       8
bigdealworth        8   https://letterboxd.com/bigdealworth/film/love-me-2024/
nicarpenter         8   https://letterboxd.com/nicarpenter/film/love-me-2024/
DrSponce            8   https://letterboxd.com/drsponce/film/love-me-2024/
nathan              8   https://letterboxd.com/nate_1724/film/love-me-2024/
hkolbs              8   https://letterboxd.com/hkolbs/film/love-me-2024/
sofiahalpern        8
Alejandra Martinez  8   https://letterboxd.com/mtzxale/film/love-me-2024/
Tim Banach          8
audreyhui           8   https://letterboxd.com/audreyhui/film/love-me-2024/
Kari                8   https://letterboxd.com/hotdoghandjobs/film/love-me-2024/
Kennedy             8   https://letterboxd.com/katb0b0/film/love-me-2024/
stixpicksoffish     8
maya2000            8   https://letterboxd.com/maya2000/film/love-me-2024/
Tim Schwagel        8
vgl                 8
dallinlucas         8
cristinacova        8
Darrin Navarro      8
Cameron Kozak       8   https://letterboxd.com/cameronkozak/film/love-me-2024/
Hannah              8   https://letterboxd.com/hxnnxhlxm/film/love-me-2024/
Ben Tanen           8
mltucke             8
Alex Billington     8
natali              8
akanksha17          7   https://letterboxd.com/akanksha17/film/love-me-2024/
Dave                7
Philip Utley        7
benjaminting        7   https://letterboxd.com/benjaminting/film/love-me-2024/
kjaustin            7
Annie Mae           7
Jim Ng              7   https://letterboxd.com/nyczjester/film/love-me-2024/
nmilovid            7   https://letterboxd.com/nmilovid/film/love-me-2024/
Jose Labrador       7
imnotcaroline       7   https://letterboxd.com/imnotcaroline/film/love-me-2024/
scollins37          7   https://letterboxd.com/scollins37/film/love-me-2024/
Brent Hankins       7   https://letterboxd.com/nerdrepository/film/love-me-2024/
Scott Renshaw       7   https://letterboxd.com/scottrenshaw/film/love-me-2024/
Jennifer            7   https://letterboxd.com/mamaaa/film/love-me-2024/
Kenn_R              7
agg                 7
saqinthecity        7   https://letterboxd.com/saqinthecity/film/love-me-2024/
autumnrenne         7
Arash Azizi         7
Deja Williams       7
annajnedavis        7
miguel              7
oddboy_aqui         7
Natalie             7
jstuu               7
Melanie Addington   7
Jordan              7   https://letterboxd.com/jordanvivero/film/love-me-2024/
Caitlin             7   https://letterboxd.com/caitlinclark11/film/love-me-2024/
samscribner         7
Aden                7   https://letterboxd.com/cityhallsteph/film/love-me-2024/
Hudson              7   https://letterboxd.com/hudsonshelton1/film/love-me-2024/
leekar27            7   https://letterboxd.com/leekar27/film/love-me-2024/
Matt Fabelman       7   https://letterboxd.com/mattfabelman/film/love-me-2024/
TristinBrown        7
mattyopps           7
Thomas Passarelli   7
tylersimon          7
Eli Staub           7
